"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","DAYS_LAST_PHONE_CHANGE","NAME_TYPE_SUITE","OCCUPATION_TYPE"
399891,0,"Cash loans","F","N","Y",1,112500,582804,31617,463500,"Working","Secondary / secondary special","Married","House / apartment",0.022625,-13614,-640,-1202,-2469,1,1,0,1,0,0,3,2,2,"THURSDAY",13,0,0,0,0,0,0,"Self-employed",-1030,"Unaccompanied","Core staff"
413781,0,"Cash loans","F","N","Y",0,810000,1125000,43722,1125000,"Commercial associate","Higher education","Married","House / apartment",0.026392,-10801,-1567,-291,-2524,1,1,0,1,0,0,2,2,2,"MONDAY",14,0,0,0,0,0,0,"Business Entity Type 3",-884,"Family","Managers"
365017,0,"Revolving loans","F","N","Y",0,76500,180000,9000,180000,"Working","Secondary / secondary special","Single / not married","With parents",0.025164,-7737,-399,-5599,-405,1,1,0,1,0,0,1,2,2,"SUNDAY",12,0,1,1,0,1,1,"Business Entity Type 2",-260,"Unaccompanied","Sales staff"
426913,0,"Cash loans","F","N","Y",1,247500,525735,45252,450000,"Commercial associate","Higher education","Married","House / apartment",0.02461,-16465,-3755,-153,-11,1,1,0,1,0,1,3,2,2,"TUESDAY",11,0,0,0,0,0,0,"Government",-720,"Unaccompanied","Accountants"
119372,0,"Revolving loans","F","N","N",0,225000,202500,10125,202500,"Working","Secondary / secondary special","Separated","Municipal apartment",0.026392,-14447,-4422,-3483,-5017,1,1,0,1,0,0,1,2,2,"TUESDAY",17,0,0,0,0,0,0,"Government",-1536,"Unaccompanied","Laborers"
421232,0,"Cash loans","F","Y","N",0,337500,2013840,53253,1800000,"Commercial associate","Higher education","Married","House / apartment",0.04622,-12736,-303,-6705,-3443,1,1,0,1,0,0,2,1,1,"SATURDAY",12,0,1,1,0,0,0,"Business Entity Type 3",-988,"Unaccompanied","Accountants"
268051,0,"Cash loans","F","N","N",0,360000,1204042.5,39924,985500,"Working","Higher education","Single / not married","Rented apartment",0.007114,-20344,-1740,-3080,-3069,1,1,0,1,0,0,1,2,2,"FRIDAY",16,0,1,1,0,1,1,"Business Entity Type 1",-1774,"Unaccompanied","Drivers"
151354,0,"Cash loans","M","Y","Y",0,112500,225000,17905.5,225000,"Working","Secondary / secondary special","Married","House / apartment",0.015221,-9783,-611,-3894,-2433,1,1,0,1,0,1,2,2,2,"SUNDAY",9,0,0,0,0,0,0,"Trade: type 2",-2102,"Unaccompanied","Core staff"
285781,0,"Revolving loans","F","N","Y",0,67500,180000,9000,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",0.020713,-21700,365243,-2894,-4592,1,0,0,1,0,0,2,3,3,"MONDAY",6,0,0,0,0,0,0,"XNA",-1556,"Unaccompanied",NA
125018,0,"Cash loans","F","N","N",1,202500,450000,21888,450000,"Working","Secondary / secondary special","Separated","Municipal apartment",0.007114,-15968,-806,-607,-3985,1,1,1,1,1,0,2,2,2,"FRIDAY",9,0,0,0,0,1,1,"Transport: type 4",-433,"Unaccompanied","Cooking staff"
400852,0,"Cash loans","M","N","Y",0,270000,1886850,52015.5,1575000,"Working","Secondary / secondary special","Married","House / apartment",0.005002,-12555,-1858,-6665,-2469,1,1,0,1,0,0,2,3,3,"WEDNESDAY",13,0,0,0,0,0,0,"Police",-2863,"Unaccompanied","Core staff"
299348,0,"Cash loans","F","N","N",0,157500,1305000,46872,1305000,"Working","Secondary / secondary special","Civil marriage","House / apartment",0.026392,-18452,-8037,-8316,-1989,1,1,1,1,0,0,2,2,2,"THURSDAY",15,0,0,0,0,1,1,"Construction",-1821,"Unaccompanied",NA
258976,0,"Cash loans","F","Y","Y",0,261000,835380,35523,675000,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",0.00702,-21167,365243,-12196,-4531,1,0,0,1,0,0,2,2,2,"SUNDAY",10,0,0,0,0,0,0,"XNA",-1925,"Unaccompanied",NA
373232,0,"Cash loans","F","N","Y",0,270000,582723,56898,553500,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",0.006629,-20246,365243,-14380,-2207,1,0,0,1,0,0,2,2,2,"SATURDAY",8,0,0,0,0,0,0,"XNA",-1582,"Unaccompanied",NA
326671,0,"Cash loans","F","Y","N",0,135000,585000,18868.5,585000,"Commercial associate","Higher education","Married","House / apartment",0.010032,-11504,-4819,-6075,-1573,1,1,0,1,1,0,2,2,2,"WEDNESDAY",14,0,0,0,0,0,0,"Business Entity Type 3",-346,"Unaccompanied",NA
270873,0,"Cash loans","F","N","Y",0,180000,1242000,39798,1242000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",0.026392,-18687,-2750,-2948,-2212,1,1,0,1,0,1,2,2,2,"THURSDAY",15,0,0,0,0,0,0,"Business Entity Type 3",-1820,"Family","Waiters/barmen staff"
357317,0,"Cash loans","F","Y","N",0,81000,152820,16177.5,135000,"Working","Secondary / secondary special","Married","House / apartment",0.035792,-16579,-997,-4324,-111,1,1,0,1,0,0,2,2,2,"WEDNESDAY",13,0,0,0,0,0,0,"Business Entity Type 3",-1341,"Unaccompanied",NA
109570,0,"Revolving loans","F","Y","Y",1,112500,135000,6750,135000,"State servant","Higher education","Married","House / apartment",0.018801,-15244,-7390,-4705,-1643,1,1,1,1,1,0,3,2,2,"SATURDAY",7,0,0,0,0,0,0,"School",-134,"Unaccompanied","Core staff"
205739,0,"Cash loans","M","Y","Y",0,157500,495000,37138.5,495000,"Working","Higher education","Married","House / apartment",0.022625,-12697,-1878,-5701,-3957,1,1,0,1,0,0,2,2,2,"SATURDAY",9,0,0,0,0,0,0,"Construction",-310,"Unaccompanied","Laborers"
279384,0,"Cash loans","F","N","Y",0,58500,675000,21775.5,675000,"Working","Higher education","Married","House / apartment",0.018634,-19482,-2712,-6645,-3004,1,1,1,1,1,0,2,2,2,"FRIDAY",14,0,0,0,0,1,1,"Other",-349,"Unaccompanied",NA
379642,0,"Cash loans","F","N","N",0,144000,284400,19003.5,225000,"State servant","Secondary / secondary special","Single / not married","House / apartment",0.028663,-19356,-4229,-4434,-2827,1,1,0,1,1,0,1,2,2,"SUNDAY",17,0,0,0,0,1,1,"Postal",-1853,"Unaccompanied","Accountants"
380857,0,"Cash loans","F","N","N",1,67500,225000,6187.5,225000,"State servant","Secondary / secondary special","Married","Office apartment",0.008068,-18268,-7039,-5640,-1806,1,1,1,1,1,0,3,3,3,"THURSDAY",9,0,0,0,0,0,0,"Military",-1916,"Unaccompanied","Cooking staff"
444366,0,"Cash loans","F","N","Y",0,225000,1017000,43218,1017000,"Pensioner","Secondary / secondary special","Married","House / apartment",0.01452,-22962,365243,-11483,-4751,1,0,0,1,0,0,2,2,2,"MONDAY",7,0,0,0,0,0,0,"XNA",-977,"Unaccompanied",NA
237312,0,"Cash loans","M","Y","Y",1,180000,810000,28827,810000,"Working","Secondary / secondary special","Married","House / apartment",0.026392,-16172,-1193,-2656,-4036,1,1,0,1,1,0,3,2,2,"SATURDAY",11,0,0,0,0,0,0,"Self-employed",-240,"Unaccompanied","Drivers"
118266,1,"Cash loans","F","N","Y",0,90000,315000,16492.5,315000,"Working","Higher education","Married","House / apartment",0.020713,-11244,-577,-81,-345,1,1,1,1,1,0,2,3,3,"FRIDAY",7,0,0,0,0,1,1,"Bank",-1349,"Spouse, partner","Core staff"
330796,0,"Revolving loans","F","N","Y",0,216000,382500,19125,382500,"Working","Higher education","Widow","House / apartment",0.030755,-18116,-3094,-7838,-1648,1,1,1,1,1,0,1,2,2,"THURSDAY",17,0,0,0,0,0,0,"Other",-958,"Unaccompanied","Accountants"
231210,1,"Cash loans","F","N","N",1,157500,263686.5,28525.5,238500,"Working","Secondary / secondary special","Civil marriage","With parents",0.010276,-9466,-593,-8692,-1728,1,1,0,1,0,0,3,2,2,"MONDAY",14,0,1,1,0,0,0,"Business Entity Type 3",0,"Unaccompanied","Waiters/barmen staff"
357561,1,"Cash loans","F","N","Y",2,103500,675000,28597.5,675000,"Working","Secondary / secondary special","Married","House / apartment",0.028663,-11194,-3161,-2478,-2020,1,1,1,1,0,0,4,2,2,"FRIDAY",13,0,0,0,0,0,0,"Industry: type 3",-841,"Unaccompanied",NA
220454,0,"Cash loans","M","Y","Y",1,157500,71955,7879.5,67500,"Working","Higher education","Married","House / apartment",0.01885,-9944,-2294,-8412,-2598,1,1,1,1,0,0,3,2,2,"WEDNESDAY",18,0,0,0,1,0,1,"Industry: type 5",0,"Family","Laborers"
183751,0,"Cash loans","F","N","Y",0,67500,277969.5,16087.5,229500,"Working","Secondary / secondary special","Married","House / apartment",0.020713,-19925,-1761,-3119,-3450,1,1,1,1,1,0,2,3,3,"TUESDAY",8,0,0,0,0,0,0,"Self-employed",-1483,"Unaccompanied","Sales staff"
165314,0,"Revolving loans","F","N","Y",2,225000,225000,11250,225000,"Working","Secondary / secondary special","Married","House / apartment",0.031329,-13645,-4091,-1512,-2464,1,1,1,1,0,0,4,2,2,"FRIDAY",14,0,0,0,0,0,0,"Security",-1395,"Unaccompanied","Security staff"
223934,0,"Cash loans","F","N","Y",0,135000,1575000,43443,1575000,"Pensioner","Secondary / secondary special","Married","House / apartment",0.003069,-22735,365243,-201,-195,1,0,0,1,0,0,2,3,3,"MONDAY",13,0,0,0,1,0,0,"XNA",-667,"Family",NA
258635,0,"Cash loans","F","N","Y",0,135000,1246500,49432.5,1246500,"Pensioner","Secondary / secondary special","Married","House / apartment",0.020713,-23202,365243,-10103,-4619,1,0,0,1,1,0,2,3,2,"THURSDAY",14,0,0,0,0,0,0,"XNA",-1596,"Unaccompanied",NA
245046,0,"Cash loans","F","N","Y",0,202500,1024740,52452,9e+05,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.072508,-13841,-1121,-7917,-4637,1,1,0,1,1,0,2,1,1,"FRIDAY",15,0,0,0,0,0,0,"Other",0,"Unaccompanied","Sales staff"
331228,0,"Cash loans","M","N","Y",2,157500,597339,30474,553500,"Working","Secondary / secondary special","Married","House / apartment",0.01885,-15241,-3335,-7595,-4917,1,1,0,1,0,0,4,2,2,"THURSDAY",18,0,0,0,0,0,0,"Trade: type 7",-3260,"Unaccompanied","Drivers"
418927,0,"Cash loans","F","N","Y",0,225000,427869,42448.5,387000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.031329,-15495,-5492,-5838,-4696,1,1,0,1,0,0,1,2,2,"TUESDAY",8,0,0,0,0,0,0,"Other",-2844,"Unaccompanied",NA
389344,0,"Cash loans","F","N","Y",1,99000,227520,17973,180000,"Working","Secondary / secondary special","Married","House / apartment",0.016612,-14286,-305,-2325,-4726,1,1,0,1,1,0,3,2,2,"THURSDAY",12,0,0,0,0,0,0,"Trade: type 7",-368,"Unaccompanied","Sales staff"
219313,0,"Cash loans","F","N","Y",2,112500,675000,22306.5,675000,"Working","Secondary / secondary special","Married","House / apartment",0.026392,-15167,-8443,-5207,-4607,1,1,1,1,1,0,4,2,2,"TUESDAY",16,0,0,0,0,0,0,"Industry: type 11",-1488,"Unaccompanied",NA
188366,0,"Cash loans","M","N","Y",0,90000,364896,18630,315000,"Working","Secondary / secondary special","Married","House / apartment",0.031329,-16322,-506,-1713,-1826,1,1,0,1,0,0,2,2,2,"TUESDAY",16,0,0,0,0,0,0,"Industry: type 5",-1562,"Family","Laborers"
317091,0,"Cash loans","M","N","Y",0,117000,545040,26640,450000,"State servant","Secondary / secondary special","Separated","House / apartment",0.003818,-15099,-342,-9201,-1382,1,1,1,1,0,1,1,2,2,"MONDAY",8,0,0,0,1,1,0,"Business Entity Type 3",-227,"Unaccompanied","Laborers"
131772,0,"Cash loans","F","N","Y",0,67500,675000,19737,675000,"Working","Secondary / secondary special","Married","House / apartment",0.010966,-15299,-2771,-5055,-5056,1,1,1,1,0,0,2,2,2,"WEDNESDAY",16,0,0,0,0,0,0,"Business Entity Type 2",-2567,"Unaccompanied",NA
352553,0,"Cash loans","F","Y","Y",0,112500,360000,18508.5,360000,"Pensioner","Secondary / secondary special","Widow","House / apartment",0.018209,-20522,365243,-9584,-3479,1,0,0,1,0,0,1,3,3,"THURSDAY",7,0,0,0,0,0,0,"XNA",-251,"Unaccompanied",NA
377252,0,"Cash loans","M","Y","Y",1,324000,1711764,47200.5,1530000,"Working","Incomplete higher","Married","With parents",0.030755,-13753,-1583,-7617,-4402,1,1,1,1,1,0,3,2,2,"WEDNESDAY",12,0,0,0,0,0,0,"Business Entity Type 3",-1880,"Unaccompanied","Laborers"
373727,0,"Cash loans","M","Y","N",0,90000,450000,35685,450000,"Working","Secondary / secondary special","Married","House / apartment",0.001417,-12447,-479,-1164,-4457,1,1,1,1,0,0,2,2,2,"TUESDAY",9,0,0,0,0,0,0,"School",-1787,"Unaccompanied",NA
230593,0,"Cash loans","M","N","Y",1,112500,270000,21024,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.028663,-14154,-2610,-850,-554,1,1,0,1,0,0,3,2,2,"FRIDAY",9,0,0,0,0,0,0,"Self-employed",-1857,"Unaccompanied","Sales staff"
378875,0,"Cash loans","M","Y","Y",0,112500,254700,16582.5,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.005084,-17682,-830,-4401,-1239,1,1,1,1,1,0,2,2,2,"TUESDAY",9,0,0,0,0,1,1,"Self-employed",-1476,"Unaccompanied","Drivers"
202571,0,"Cash loans","F","N","N",0,76500,267102,20101.5,247500,"Working","Secondary / secondary special","Married","House / apartment",0.002042,-17055,-3136,-6436,-407,1,1,1,1,0,0,2,3,3,"SATURDAY",11,0,1,1,0,1,1,"Business Entity Type 3",-712,"Unaccompanied","Laborers"
400624,0,"Cash loans","F","N","Y",0,202500,343800,16155,225000,"Commercial associate","Incomplete higher","Married","House / apartment",0.032561,-8979,-177,-7758,-853,1,1,0,1,0,0,2,1,1,"THURSDAY",19,0,0,0,0,0,0,"Transport: type 4",-1620,"Other_A","Private service staff"
162521,0,"Cash loans","M","N","Y",0,112500,301896,20686.5,252000,"Working","Incomplete higher","Civil marriage","House / apartment",0.008575,-7906,-1041,-2326,-587,1,1,0,1,0,0,2,2,2,"WEDNESDAY",16,0,0,0,0,0,0,"Trade: type 2",-877,"Unaccompanied","Sales staff"
242691,0,"Cash loans","F","N","Y",0,148500,157050,8649,112500,"Commercial associate","Higher education","Married","House / apartment",0.006305,-11893,-609,-5359,-4232,1,1,0,1,0,0,2,3,3,"MONDAY",5,0,0,0,1,1,0,"Other",-2715,"Unaccompanied",NA
374135,0,"Cash loans","M","Y","Y",1,135000,313438.5,18121.5,283500,"State servant","Higher education","Married","House / apartment",0.020713,-14471,-2047,-1904,-5074,1,1,0,1,1,0,3,3,3,"WEDNESDAY",12,0,0,0,0,0,0,"Medicine",-1715,"Unaccompanied","Core staff"
283984,0,"Cash loans","F","Y","Y",2,144000,545040,25537.5,450000,"Working","Secondary / secondary special","Widow","House / apartment",0.006852,-10254,-401,-175,-2394,1,1,1,1,1,0,3,3,3,"WEDNESDAY",9,0,0,0,0,0,0,"Self-employed",-1348,"Unaccompanied","Core staff"
122335,0,"Cash loans","F","N","Y",0,90000,225000,22050,225000,"Pensioner","Secondary / secondary special","Separated","House / apartment",0.030755,-24848,365243,-1285,-4672,1,0,0,1,0,0,1,2,2,"MONDAY",14,0,0,0,0,0,0,"XNA",-308,"Family",NA
406330,0,"Cash loans","M","Y","Y",0,139500,675000,19867.5,675000,"Working","Secondary / secondary special","Married","House / apartment",0.028663,-18296,-3662,-4594,-1832,1,1,0,1,1,0,2,2,2,"THURSDAY",12,0,0,0,0,1,1,"Construction",-802,"Unaccompanied","Laborers"
285291,0,"Cash loans","F","N","Y",0,270000,1886850,55300.5,1575000,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.072508,-13657,-1280,-3565,-2821,1,1,0,1,1,0,2,1,1,"THURSDAY",13,0,0,0,0,0,0,"Business Entity Type 3",0,"Spouse, partner","Secretaries"
248323,0,"Cash loans","F","Y","Y",0,270000,1546020,45333,1350000,"Working","Secondary / secondary special","Married","House / apartment",0.019101,-10235,-3366,-1009,-1519,1,1,0,1,0,0,2,2,2,"WEDNESDAY",15,0,0,0,1,1,0,"Other",0,"Unaccompanied","Laborers"
226091,0,"Cash loans","F","Y","N",0,112500,45000,4846.5,45000,"Working","Secondary / secondary special","Married","House / apartment",0.028663,-12050,-4286,-3419,-4466,1,1,0,1,1,0,2,2,2,"THURSDAY",11,0,0,0,0,0,0,"Self-employed",-186,"Unaccompanied","Sales staff"
333310,1,"Cash loans","M","Y","Y",1,180000,545040,25537.5,450000,"Working","Higher education","Married","House / apartment",0.006852,-13965,-243,-3257,-630,1,1,0,1,0,0,3,3,3,"FRIDAY",9,0,0,0,0,0,0,"Business Entity Type 3",-1480,"Family","Managers"
355838,0,"Cash loans","M","N","N",0,121500,9e+05,33354,9e+05,"Working","Secondary / secondary special","Married","House / apartment",0.018029,-12107,-3237,-2423,-3307,1,1,0,1,0,0,2,3,3,"THURSDAY",11,0,0,0,0,0,0,"Business Entity Type 2",-2,"Unaccompanied","Laborers"
229353,0,"Cash loans","F","N","Y",1,202500,835380,35523,675000,"Working","Secondary / secondary special","Married","Municipal apartment",0.02461,-9265,-1414,-1432,-467,1,1,0,1,0,0,3,2,2,"TUESDAY",11,0,0,0,0,0,0,"Government",-1145,"Unaccompanied","Drivers"
305533,0,"Cash loans","M","N","Y",1,135000,315000,25254,315000,"Working","Secondary / secondary special","Married","House / apartment",0.009175,-10970,-896,-4553,-1963,1,1,1,1,0,0,3,2,2,"TUESDAY",16,0,1,1,0,1,1,"Other",-1313,"Unaccompanied","Laborers"
331052,0,"Cash loans","F","N","Y",0,126000,647046,21001.5,463500,"Working","Secondary / secondary special","Married","House / apartment",0.04622,-18782,-196,-1845,-2325,1,1,0,1,0,0,2,1,1,"SATURDAY",11,0,0,0,1,0,1,"Kindergarten",-1409,"Unaccompanied","Cleaning staff"
355979,0,"Cash loans","M","Y","Y",2,202500,243000,27612,243000,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.018209,-17778,-10308,-3571,-619,1,1,0,1,0,0,4,3,3,"THURSDAY",13,0,0,0,0,1,1,"Business Entity Type 3",-1481,"Unaccompanied","Laborers"
164341,0,"Cash loans","M","Y","Y",2,157500,254700,27558,225000,"Working","Secondary / secondary special","Married","House / apartment",0.010276,-13448,-1709,-300,-4522,1,1,0,1,0,0,4,2,2,"TUESDAY",15,0,0,0,0,0,0,"Business Entity Type 3",-1432,"Unaccompanied","Drivers"
312029,0,"Cash loans","F","N","Y",0,76500,553500,17982,553500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",0.016612,-23703,365243,-857,-5964,1,0,0,1,1,0,1,2,2,"FRIDAY",11,0,0,0,0,0,0,"XNA",-1564,"Unaccompanied",NA
320773,0,"Cash loans","F","N","Y",0,112500,297000,18076.5,297000,"Working","Secondary / secondary special","Married","House / apartment",0.020246,-14729,-4772,-6118,-4971,1,1,0,1,0,0,2,3,3,"THURSDAY",9,0,0,0,0,0,0,"Other",-658,"Unaccompanied",NA
387674,0,"Revolving loans","F","N","Y",0,112500,337500,16875,337500,"Working","Higher education","Single / not married","House / apartment",0.02461,-14694,-1100,-8731,-4832,1,1,0,1,0,0,1,2,2,"FRIDAY",10,0,0,0,0,0,0,"Kindergarten",-233,"Unaccompanied","Core staff"
334461,0,"Cash loans","M","Y","Y",0,225000,9e+05,26446.5,9e+05,"Working","Secondary / secondary special","Civil marriage","House / apartment",0.008625,-19603,-1590,-7860,-3148,1,1,0,1,0,0,2,2,2,"MONDAY",13,0,0,0,0,1,1,"Self-employed",-903,"Family","Laborers"
156539,0,"Cash loans","M","Y","N",0,270000,9e+05,26316,9e+05,"Working","Higher education","Separated","House / apartment",0.072508,-19755,-2505,-4125,-2942,1,1,0,1,1,0,1,1,1,"SUNDAY",10,0,0,0,0,0,0,"Industry: type 11",-1261,"Unaccompanied","Drivers"
412537,0,"Cash loans","F","Y","Y",0,90000,253737,26775,229500,"Working","Secondary / secondary special","Married","House / apartment",0.009175,-16820,-445,-6378,-355,1,1,0,1,0,0,2,2,2,"TUESDAY",11,0,0,0,0,1,1,"Trade: type 7",-824,"Unaccompanied","Sales staff"
423627,0,"Cash loans","M","Y","Y",0,112500,9e+05,57649.5,9e+05,"Working","Secondary / secondary special","Married","House / apartment",0.0105,-19869,-1114,-4994,-3196,1,1,1,1,1,0,2,3,3,"FRIDAY",11,0,0,0,0,0,0,"Business Entity Type 3",0,"Spouse, partner","Laborers"
343802,0,"Cash loans","F","N","Y",0,81000,199080,11245.5,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",0.030755,-22628,365243,-7584,-4092,1,0,0,1,0,0,2,2,2,"TUESDAY",11,0,0,0,0,0,0,"XNA",-842,"Unaccompanied",NA
379255,0,"Cash loans","F","N","Y",1,247500,936000,37120.5,936000,"Commercial associate","Secondary / secondary special","Married","House / apartment",0.009175,-14095,-5601,-1712,-4686,1,1,1,1,0,0,3,2,2,"MONDAY",16,0,0,0,0,0,0,"Business Entity Type 3",-403,"Unaccompanied","High skill tech staff"
248222,0,"Cash loans","F","Y","N",3,166500,1319269.5,38704.5,1152000,"Working","Higher education","Married","House / apartment",0.009549,-15528,-5863,-2152,-4092,1,1,0,1,1,0,5,2,2,"MONDAY",16,0,0,0,0,1,1,"Housing",-1270,"Children","Managers"
124797,0,"Cash loans","F","Y","Y",0,103500,253377,12186,211500,"Working","Secondary / secondary special","Married","House / apartment",0.0105,-19025,-2478,-1995,-2577,1,1,0,1,0,0,2,3,3,"FRIDAY",9,0,0,0,0,0,0,"Transport: type 4",-1576,"Family","Laborers"
224496,0,"Cash loans","F","N","N",0,171000,450000,17140.5,450000,"Working","Secondary / secondary special","Single / not married","House / apartment",0.031329,-10691,-1893,-3727,-3363,1,1,0,1,1,0,1,2,2,"THURSDAY",19,0,0,0,0,0,0,"Trade: type 2",-1,"Unaccompanied","Core staff"
257438,0,"Cash loans","F","N","N",0,45000,754740,24475.5,630000,"Working","Secondary / secondary special","Married","House / apartment",0.010643,-17839,-5369,-9590,-1394,1,1,1,1,0,0,2,2,2,"FRIDAY",17,0,0,0,0,0,0,"Medicine",-1533,"Family","Medicine staff"
309593,0,"Cash loans","F","Y","N",1,117450,1546020,40783.5,1350000,"Commercial associate","Higher education","Married","House / apartment",0.04622,-11403,-398,-4578,-3978,1,1,1,1,0,0,3,1,1,"MONDAY",12,0,0,0,0,0,0,"Self-employed",-2052,"Unaccompanied","Core staff"
